sample_id,word_id_gold,word_gold,lemma_gold,pos_gold,token_idx,word_id_pred,word_pred,lemma_pred,pos_pred,word_match
dev-s1,1,+,+,PUNCT,0,4,+,+,SYM,True
dev-s1,2,In,in,ADP,1,5,In,in,ADP,True
dev-s1,3,Dei,Deus,PROPN,2,6,Dei,deus,PROPN,True
dev-s1,4,omnipotentis,omnipotens,ADJ,3,7,omnipotentis,omnipotens,VERB,True
dev-s1,5,nomine,nomen,NOUN,4,8,nomine,nomen,NOUN,True
dev-s1,6,regnante,regno,VERB,5,9,regnante,regno,VERB,True
dev-s1,7,domno,domnus,NOUN,6,10,domno,domnus,NOUN,True
dev-s1,8,nostro,noster,DET,7,11,nostro,noster,ADJ,True
dev-s1,9,Karolus,Carolus,PROPN,8,12,Karolus,Karolus,NOUN,True
dev-s1,10,divina,diuinus,ADJ,9,13,divina,divinus,ADJ,True
dev-s1,11,faventem,faueo,VERB,10,14,faventem,favo,VERB,True
dev-s1,12,clementia,clementia,NOUN,11,15,clementia,clemens,NOUN,True
dev-s1,13,rex,rex,NOUN,12,16,rex,rex,NOUN,True
dev-s1,14,",",",",PUNCT,13,17,",",",",PUNCT,True
dev-s1,15,anno,annus,NOUN,14,18,anno,annus,NOUN,True
dev-s1,16,regni,regnum,NOUN,15,19,regni,regnum,NOUN,True
dev-s1,17,eius,is,PRON,16,20,eius,is,PRON,True
dev-s1,18,in,in,ADP,17,21,in,in,ADP,True
dev-s1,19,Italia,Italia,PROPN,18,22,Italia,Italis,ADJ,True
dev-s1,20,primo,primus,ADJ,19,23,primo,primo,ADV,True
dev-s1,21,",",",",PUNCT,20,24,",",",",PUNCT,True
dev-s1,22,octavo,octauus,ADJ,21,25,octavo,octavus,ADJ,True
dev-s1,23,kalendas,kalendae,NOUN,22,26,kalendas,kalendas,ADJ,True
dev-s1,24,decembris,december,ADJ,23,27,decembris,decembra,NOUN,True
dev-s1,25,",",",",PUNCT,24,28,",",",",PUNCT,True
dev-s1,26,indictione,indictio,NOUN,25,29,indictione,indictio,NOUN,True
