sample_id,word_id_gold,word_gold,lemma_gold,pos_gold,token_idx,word_id_pred,word_pred,lemma_pred,pos_pred,word_match,pos_match?,lemma_match?,lemma_sim?
phi0690.phi003.perseus-lat1.tb.xml@41,1,te,tu,PRON,0,4,te,tu,PRON,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@41,2,quoque,quoque,PART,1,5,quoque,quoque,ADV,True,False,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@41,3,magna,magnus,ADJ,2,6,magna,magnus,ADJ,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@41,4,manent,maneo,VERB,3,7,manent,maneo,VERB,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@41,5,regnis,regnum,NOUN,4,8,regnis,regnum,NOUN,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@41,6,penetralia,penetralis,ADJ,5,9,penetralia,penetralis,ADJ,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@41,7,nostris,noster,DET,6,10,nostris,noster,ADJ,True,False,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@41,8,:,:,PUNCT,7,11,:,:,PUNCT,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@43,1,foliis,folium,NOUN,0,4,foliis,folium,PRON,True,False,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@43,2,tantum,tantus,ADV,1,5,tantum,tantum,ADV,True,True,False,0.8333333333333334
phi0690.phi003.perseus-lat1.tb.xml@43,3,ne,ne,ADV,2,6,ne,ne,SCONJ,True,False,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@43,4,carmina,carmen,NOUN,3,7,carmina,carmen,NOUN,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@43,5,manda,mando,VERB,4,8,manda,mao,VERB,True,True,False,0.75
phi0690.phi003.perseus-lat1.tb.xml@43,6,",",",",PUNCT,5,9,",",",",PUNCT,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@43,7,ne,ne,SCONJ,6,10,ne,ne,SCONJ,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@43,8,turbata,turbo,VERB,7,11,turbata,turbo,VERB,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@43,9,volent,volo,VERB,8,12,volent,volo,VERB,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@43,10,rapidis,rapidus,ADJ,9,13,rapidis,rapidus,VERB,True,False,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@43,11,ludibria,ludibrium,NOUN,10,14,ludibria,ludibrius,NOUN,True,True,False,0.8888888888888888
phi0690.phi003.perseus-lat1.tb.xml@43,12,ventis,ventus,NOUN,11,15,ventis,vor,VERB,True,False,False,0.2222222222222222
phi0690.phi003.perseus-lat1.tb.xml@43,13,;,;,PUNCT,12,16,;,;,PUNCT,True,True,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@44,1,ipsa,ipse,DET,0,4,ipsa,ipse,PRON,True,False,True,1.0
phi0690.phi003.perseus-lat1.tb.xml@44,2,canas,cano,VERB,1,5,canas,cana,NOUN,True,False,False,0.75
phi0690.phi003.perseus-lat1.tb.xml@44,3,oro,oro,VERB,2,6,oro,orum,ADV,True,False,False,0.5714285714285714
phi0690.phi003.perseus-lat1.tb.xml@44,4,.,.,PUNCT,3,7,.,.,PUNCT,True,True,True,1.0
