sample_id,word_id_gold,word_gold,lemma_gold,pos_gold,token_idx,word_id_pred,word_pred,lemma_pred,pos_pred,word_match,pos_match?,lemma_match?,lemma_sim?
dev-s1,1,+,+,PUNCT,0,1,+,+,NOUN,True,False,True,1.0
dev-s1,2,in,in,ADP,1,2,in,in,PREP,True,False,True,1.0
dev-s1,3,dei,deus,PROPN,2,3,dei,Deus,NOUN,True,False,False,0.75
dev-s1,4,omnipotentis,omnipotens,ADJ,3,4,omnipotentis,omnipotens,ADJ,True,True,True,1.0
dev-s1,5,nomine,nomen,NOUN,4,5,nomine,nomen,NOUN,True,True,True,1.0
dev-s1,6,regnante,regno,VERB,5,6,regnante,regno,VERB,True,True,True,1.0
dev-s1,7,domno,domnus,NOUN,6,7,domno,domnus,NOUN,True,True,True,1.0
dev-s1,8,nostro,noster,DET,7,8,nostro,noster,POSS,True,False,True,1.0
dev-s1,9,karolus,carolus,PROPN,8,9,karolus,karolus,NOUN,True,False,False,0.8571428571428571
dev-s1,10,divina,diuinus,ADJ,9,10,divina,divinus,ADJ,True,True,False,0.8571428571428571
dev-s1,11,faventem,faueo,VERB,10,11,faventem,faveo,VERB,True,True,False,0.8
dev-s1,12,clementia,clementia,NOUN,11,12,clementia,clementia,NOUN,True,True,True,1.0
dev-s1,13,rex,rex,NOUN,12,13,rex,rex,NOUN,True,True,True,1.0
dev-s1,14,",",",",PUNCT,13,14,",",",",PUNCT,True,True,True,1.0
dev-s1,15,anno,annus,NOUN,14,15,anno,annus,NOUN,True,True,True,1.0
dev-s1,16,regni,regnum,NOUN,15,16,regni,regnum,NOUN,True,True,True,1.0
dev-s1,17,eius,is,PRON,16,17,eius,is,DET,True,False,True,1.0
dev-s1,18,in,in,ADP,17,18,in,in,PREP,True,False,True,1.0
dev-s1,19,italia,italia,PROPN,18,19,italia,Italia,NOUN,True,False,False,0.8333333333333334
dev-s1,20,primo,primus,ADJ,19,20,primo,primo,ADV,True,False,False,0.7272727272727273
dev-s1,21,",",",",PUNCT,20,21,",",",",PUNCT,True,True,True,1.0
dev-s1,22,octavo,octauus,ADJ,21,22,octavo,octo,NUM,True,False,False,0.5454545454545454
dev-s1,23,kalendas,kalendae,NOUN,22,23,kalendas,Kalenda,NOUN,True,True,False,0.8
dev-s1,24,decembris,december,ADJ,23,24,decembris,December,NOUN,True,False,False,0.875
dev-s1,25,",",",",PUNCT,24,25,",",",",PUNCT,True,True,True,1.0
dev-s1,26,indictione,indictio,NOUN,25,26,indictione,indictio,NOUN,True,True,True,1.0
dev-s1,27,quarta,quartus,ADJ,26,27,quarta,quattuor -a,NUM,True,False,False,0.5555555555555556
dev-s1,28,decima,decimus,ADJ,27,28,decima,decem,NUM,True,False,False,0.6666666666666666
dev-s1,29,.,.,PUNCT,28,29,.,.,PUNCT,True,True,True,1.0
dev-s2,1,manifesti,manifestus,ADJ,0,1,manifesti,manifesti,ADJ,True,True,False,0.8421052631578947
dev-s2,2,sumus,sum,AUX,1,2,sumus,sum,ESSE:IND,True,False,True,1.0
dev-s2,3,nos,nos,PRON,2,3,nos,nos,PRON,True,True,True,1.0
dev-s2,4,leoprando,leoprandus,PROPN,3,4,leoprando,leoprando,NOUN,True,False,False,0.8421052631578947
