sample_id,word_id_gold,word_gold,lemma_gold,pos_gold,token_idx,word_id_pred,word_pred,lemma_pred,pos_pred,word_match
dev-s1,1,+,+,PUNCT,0,1,+,+,NOUN,True
dev-s1,2,In,in,ADP,1,2,In,in,PREP,True
dev-s1,3,Dei,Deus,PROPN,2,3,Dei,Deus,NOUN,True
dev-s1,4,omnipotentis,omnipotens,ADJ,3,4,omnipotentis,omnipotens,ADJ,True
dev-s1,5,nomine,nomen,NOUN,4,5,nomine,nomen,NOUN,True
dev-s1,6,regnante,regno,VERB,5,6,regnante,regno,VERB,True
dev-s1,7,domno,domnus,NOUN,6,7,domno,domnus,NOUN,True
dev-s1,8,nostro,noster,DET,7,8,nostro,noster,POSS,True
dev-s1,9,Karolus,Carolus,PROPN,8,9,Karolus,Karolus,NOUN,True
dev-s1,10,divina,diuinus,ADJ,9,10,divina,divinus,ADJ,True
dev-s1,11,faventem,faueo,VERB,10,11,faventem,faveo,VERB,True
dev-s1,12,clementia,clementia,NOUN,11,12,clementia,clementia,NOUN,True
dev-s1,13,rex,rex,NOUN,12,13,rex,rex,NOUN,True
dev-s1,14,",",",",PUNCT,13,14,",",",",PUNCT,True
dev-s1,15,anno,annus,NOUN,14,15,anno,annus,NOUN,True
dev-s1,16,regni,regnum,NOUN,15,16,regni,regnum,NOUN,True
dev-s1,17,eius,is,PRON,16,17,eius,is,DET,True
dev-s1,18,in,in,ADP,17,18,in,in,PREP,True
dev-s1,19,Italia,Italia,PROPN,18,19,Italia,Italia,NOUN,True
dev-s1,20,primo,primus,ADJ,19,20,primo,primo,ADV,True
dev-s1,21,",",",",PUNCT,20,21,",",",",PUNCT,True
dev-s1,22,octavo,octauus,ADJ,21,22,octavo,octo,NUM,True
dev-s1,23,kalendas,kalendae,NOUN,22,23,kalendas,Kalenda,NOUN,True
dev-s1,24,decembris,december,ADJ,23,24,decembris,December,NOUN,True
dev-s1,25,",",",",PUNCT,24,25,",",",",PUNCT,True
dev-s1,26,indictione,indictio,NOUN,25,26,indictione,indictio,NOUN,True
dev-s1,27,quarta,quartus,ADJ,26,27,quarta,quattuor -a,NUM,True
dev-s1,28,decima,decimus,ADJ,27,28,decima,decem,NUM,True
dev-s1,29,.,.,PUNCT,28,29,.,.,PUNCT,True
dev-s2,1,manifesti,manifestus,ADJ,0,1,manifesti,manifesti,ADJ,True
dev-s2,2,sumus,sum,AUX,1,2,sumus,sum,ESSE:IND,True
dev-s2,3,nos,nos,PRON,2,3,nos,nos,PRON,True
dev-s2,4,Leoprando,Leoprandus,PROPN,3,4,Leoprando,Leoprando,NOUN,True
dev-s2,5,que,qui,PRON,4,5,que,que,CCONJ,True
dev-s2,6,Cillo,Cillus,PROPN,5,6,Cillo,cillo,NOUN,True
dev-s2,7,vocatur,uoco,VERB,6,7,vocatur,voco,VERB,True
dev-s2,8,",",",",PUNCT,7,8,",",",",PUNCT,True
dev-s2,9,filio,filius,NOUN,8,9,filio,filius,NOUN,True
