sample_id,word_id_gold,word_gold,lemma_gold,pos_gold,token_idx,word_id_pred,word_pred,lemma_pred,pos_pred,word_match,pos_match?,lemma_match?,lemma_sim?
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.0,idest,idest,nan,0,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.0,idest,idest,CCONJ,True,False,True,1.0
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1,sidera,sidus,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1,sidera,sidus,NOUN,True,True,True,1.0
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2,uel,uel,CCONJ,2,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2,uel,uel,CCONJ,True,True,True,1.0
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3,spatia,spatium,NOUN,3,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3,spatia,spatium,NOUN,True,True,True,1.0
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0,sideera,sidus,NOUN,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0,sideera,sideo,VERB,True,False,False,0.6
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1,uel,uel,CCONJ,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1,uel,uel,CCONJ,True,True,True,1.0
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2,spatia,spatium,NOUN,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2,spatia,spatium,NOUN,True,True,True,1.0
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0,eo,is,PRON,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0,eo,is,PRON,True,True,True,1.0
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1,quorum,qui,PRON,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1,quorum,qui,PRON,True,True,True,1.0
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2,qui,qui,PRON,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2,qui,qui,PRON,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0,fit,facio,VERB,0,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0,fit,fio,VERB,True,True,False,0.75
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1,lumen,lumen,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1,lumen,lumen,NOUN,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2,in,in,ADP,2,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2,in,in,ADP,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3,eis,is,PRON,3,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3,eis,is,PRON,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,in,in,ADP,4,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,in,in,ADP,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5,hoc,hic,DET,5,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5,hoc,hic,DET,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6,tempore,tempus,NOUN,6,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6,tempore,tempus,NOUN,True,True,True,1.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0,uel,uel,CCONJ,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0,uel,uel,CCONJ,True,True,True,1.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1,absida,absida,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1,absida,absida,NOUN,True,True,True,1.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2,sedes,sedes,NOUN,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2,sedes,sedes,NOUN,True,True,True,1.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.3,episcopalis,episcopalis,ADJ,3,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.3,episcopalis,episcopalis,ADJ,True,True,True,1.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.4,et,et,CCONJ,4,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.4,et,et,CCONJ,True,True,True,1.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.5,?,nan,nan,5,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.5,?,?,PUNCT,True,False,False,0.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.6,graecus,graecus,NOUN,6,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0,graecus,graecus,ADJ,True,False,True,1.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.7,et,et,CCONJ,7,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1,et,et,CCONJ,True,True,True,1.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.8,interpretatur,interpretor,VERB,8,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2,interpretatur,interpretor,VERB,True,True,True,1.0
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.9,splendida,splendidus,ADJ,9,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.3,splendida,splendidus,ADJ,True,True,True,1.0
BCr.27a53,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a53.0,apparent,appareo,VERB,0,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a53.0,apparent,appareo,VERB,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.0,idest,idest,nan,0,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.0,idest,idest,CCONJ,True,False,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.01,absida,absida,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.1,absida,absida,NOUN,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.02,graece,graece,ADV,2,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.2,graece,graece,PROPN,True,False,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.03,interpretatur,interpretor,VERB,3,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.3,interpretatur,interpretor,VERB,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.04,lucida,lucidus,ADJ,4,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.4,lucida,lucidus,ADJ,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.05,eo,is,PRON,5,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.5,eo,is,PRON,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.06,quorum,qui,PRON,6,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.6,quorum,qui,PRON,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.07,lumine,lumen,NOUN,7,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.7,lumine,lumen,NOUN,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.08,accepto,accipio,VERB,8,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.8,accepto,accipio,VERB,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.09,per,per,ADP,9,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.9,per,per,ADP,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.10,arcam,arca,NOUN,10,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.10,arcam,arca,NOUN,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.11,resplendeat,resplendeo,VERB,11,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.11,resplendeat,resplendeo,VERB,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.12,sed,sed,CCONJ,12,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.12,sed,sed,CCONJ,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.13,utrum,utrum,ADV,13,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.13,utrum,utrum,ADV,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.14,absidam,absida,NOUN,14,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.14,absidam,absida,NOUN,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.15,an,an,CCONJ,15,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.15,an,an,SCONJ,True,False,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.16,absidam,absida,NOUN,16,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.16,absidam,absida,NOUN,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.17,dicere,dico,VERB,17,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.17,dicere,dico,VERB,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.18,debemus,debeo,VERB,18,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.18,debemus,debeo,VERB,True,True,True,1.0
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.19,hic,hic,DET,19,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.19,hic,hic,DET,True,True,True,1.0
