sample_id,word_id_gold,word_gold,lemma_gold,pos_gold,token_idx,word_id_pred,word_pred,lemma_pred,pos_pred,word_match
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.0,idest,idest,nan,0,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.4,idest,idest,ADV,True
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1,sidera,sidus,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.5,sidera,sidus,NOUN,True
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2,uel,uel,CCONJ,2,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.6,uel,uel,CCONJ,True
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3,spatia,spatium,NOUN,3,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.7,spatia,spatia,NOUN,True
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0,sideera,sidus,NOUN,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.4,sideera,sideus,NOUN,True
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1,uel,uel,CCONJ,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.5,uel,uel,SCONJ,True
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2,spatia,spatium,NOUN,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.6,spatia,spatia,NOUN,True
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0,eo,is,PRON,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.4,eo,is,PRON,True
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1,quorum,qui,PRON,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.5,quorum,qui,PRON,True
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2,qui,qui,PRON,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.6,qui,quis,PRON,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0,fit,facio,VERB,0,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,fit,facio,VERB,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1,lumen,lumen,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5,lumen,lumen,NOUN,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2,in,in,ADP,2,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6,in,in,ADP,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3,eis,is,PRON,3,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.7,eis,is,PRON,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,in,in,ADP,4,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.8,in,in,ADP,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5,hoc,hic,DET,5,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.9,hoc,hic,PRON,True
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6,tempore,tempus,NOUN,6,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.10,tempore,tempus,NOUN,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0,uel,uel,CCONJ,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.4,uel,uel,SCONJ,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1,absida,absida,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.5,absida,absidus,ADJ,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2,sedes,sedes,NOUN,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.6,sedes,sedeo,VERB,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.3,episcopalis,episcopalis,ADJ,3,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.7,episcopalis,episcopalis,ADJ,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.4,et,et,CCONJ,4,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.8,et,et,CCONJ,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.5,?,nan,nan,5,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.9,?,?,PUNCT,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.6,graecus,graecus,NOUN,6,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.10,graecus,graecus,NOUN,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.7,et,et,CCONJ,7,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.11,et,et,CCONJ,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.8,interpretatur,interpretor,VERB,8,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.12,interpretatur,interpretor,VERB,True
BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.9,splendida,splendidus,ADJ,9,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.13,splendida,splendida,NOUN,True
BCr.27a53,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a53.0,apparent,appareo,VERB,0,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a53.4,apparent,appareo,VERB,True
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.0,idest,idest,nan,0,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.4,idest,idest,ADV,True
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.01,absida,absida,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.5,absida,absidus,ADJ,True
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.02,graece,graece,ADV,2,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.6,graece,graece,ADV,True
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.03,interpretatur,interpretor,VERB,3,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.7,interpretatur,interpretor,VERB,True
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.04,lucida,lucidus,ADJ,4,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.8,lucida,lucidus,ADJ,True
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.05,eo,is,PRON,5,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.9,eo,is,PRON,True
BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.06,quorum,qui,PRON,6,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.10,quorum,qui,PRON,True
